dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010024,30002130,경남은행,집집마다 도움대출II,"영업점,모집인","인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]
국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
주택신보출연료(주택자금용도)","중도상환수수료(대출취급 후 3년 경과시 면제)
 = 중도상환대출금액X중도상환수수료율 X(대출잔여일수÷대출기간)
2)중도상환수수료율 = 취급후 3년 이내 상환시 0.61%",대출금리+3.0%,LTV 80% 이내,20260417,,202604171331
202604,0010024,30002497,경남은행,BNK모바일주택담보대출,스마트폰,"인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]
국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
주택신보출연료(주택자금용도)","중도상환수수료(대출취급 후 3년 경과시 면제)
 = 중도상환대출금액X중도상환수수료율 X(대출잔여일수÷대출기간)
2)중도상환수수료율 = 취급후 3년 이내 상환시 0.61%",대출금리+3.0%,LTV 70% 이내(KB시세 확인 가능한 아파트만 가능),20260417,,202604171331
202604,0010026,212010144,중소기업은행,IBK주택담보대출,"영업점,모집인","인지세 : 해당세액의 50%
국민주택채권 매입비용 : 대출금액 x 120% x 1% x 채권할인률
화재보험료(아파트외 물건지에 한함)","중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 0.74%, 변동금리 0.61%",대출금리 + 3.0%(최고 연체이자율 : 11%),LTV 70%,20260416,20270416,202604161419
202604,0010030,1,한국산업은행,"산은 주택대출
(생활자금)",기타,"* 구입자금 취급중단, 기존 주택담보대출 고객에 대한 추가 생활자금대출만 취급

- 인지세 : 해당세액의 50%
- 국민주택채권 매입비용","- 중도상환금액 × 중도상환수수료율* × (대출잔여일수 ÷ 대출기간** )
* 담보대출 : 고정금리 1.2%, 변동금리 0.9% / 신용대출 : 고정금리 0.8%, 변동금리 0.5%
**대출기간이 3년을 초과하는 경우 3년","대출금리+3%
최고 이자율 : 15%",- LTV 70% 등,20260416,,202604161940
202604,0010927,KB200300000002,국민은행,"KB주택담보대출변동
(일반자금)","영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",중도상환금액 × 0.55% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",LTV 70%,20260420,,202604161255
202604,0010927,KB200331100045,국민은행,KB스타 아파트담보대출 혼합금리(주택자금),"영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",중도상환금액 × 0.75% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",LTV 70%,20260420,,202604161255
202604,0011625,WR0001B,신한은행,신한주택대출(아파트),"영업점,모집인","- 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권매입: 대출금액*120%*1%*채권할인율","-중도상환해약금:중도상환대출금*중도상환해약금률(고정금리0.59%, 변동금리0.59%)*(대출잔여일수/대출기간)","-1개월이내:대출금리+3%
-3개월이내:대출금리+3%
-3개월초과:대출금리+3%(최고연체이자율:15%)",-LTV40%,20260416,,202604161546
202604,0011625,WR0001C,신한은행,신한주택대출,"영업점,모집인","- 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권매입: 대출금액*120%*1%*채권할인율","-중도상환해약금:중도상환대출금*중도상환해약금률(고정금리0.59%, 변동금리0.59%)*(대출잔여일수/대출기간)","-1개월이내:대출금리+3%
-3개월이내:대출금리+3%
-3개월초과:대출금리+3%(최고연체이자율:15%)",-LTV40%,20260416,,202604161546
202604,0013175,2001104780001,농협은행주식회사,NH주택담보대출,영업점,"1. 인지세
  - 해당 세액의 50%
2. 국민주택채권매입비용
  - 근저당권 설정금액 × 10 ÷ 1,000
3. 주택신보출연료","중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
- 대출기간 : 3년을 초과하는 경우 3년
- 적용요율 : 고정0.63% / 변동0.93%","연체기간에 관계없이 대출금리 + 3%
최대 연 15%",해당 주택의 담보평가금액에 따라 산출된 가능금액 이내,20260420,,202604171418
202604,0013175,2001108370003,농협은행주식회사,채움고정금리모기지론,영업점,"1. 인지세
  - 해당 세액의 50%
2. 국민주택채권매입비용
  - 근저당권 설정금액 × 10 ÷ 1,000
3. 주택신보출연료","중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
- 대출기간 : 3년을 초과하는 경우 3년
- 적용요율 : 고정0.63% / 변동0.93%","연체기간에 관계없이 대출금리 + 3%
최대 연 15%",해당 주택의 담보평가금액에 따라 산출된 가능금액 이내,20260420,,202604171418
202604,0013909,0300386-1,주식회사 하나은행,하나원큐아파트론2,스마트폰,"1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등","중도상환금액 × 중도상환해약금률* × ( 대출잔여일수 ÷ 대출기간** )
* 중도상환해약금률 : 0.65%(혼합), 0.78%(변동)
** 대출약정일로부터 최장 3년",적용금리+3% ( 최고 15% ),담보별 가용가 범위내,20260420,,202604161114
202604,0014674,01021000300000000001,주식회사 케이뱅크,아파트담보대출(일반),스마트폰,"1. 인지세 - 해당세액의 50%
2. 근저당권 설정비 중 고객 부담 항목 
   - 주택채권 매입비용 등","중도상환금액*해약금요율
(0.58%)*(3년-대출실행 후 경과기간)/3년, 
대출 실행 3년 이후 면제","적용금리+3%(최고 15%) 
단, 대출이자가 연 15% 이상일 경우
 연체이자 연 2%를 가산","LTV 최대 70%, 
신규 - 최대 2억원, 
대환 - 최대 10억원",20260420,20260520,202604151424
202604,0014674,01021000300000000013,주식회사 케이뱅크,아파트담보대출(구입),스마트폰,"1. 인지세 - 해당세액의 50%
2. 근저당권 설정비 중 고객 부담 항목 
   - 주택채권 매입비용 등","중도상환금액*해약금요율
(0.58%)*(3년-대출실행 후 경과기간)/3년, 대출 실행 3년 이후 면제","적용금리+3%(최고 15%) 
단, 대출이자가 연 15% 이상일 경우
 연체이자 연 2%를 가산","LTV 최대 70%, 최대 10억원",20260420,20260520,202604151424
202604,0014807,1167,수협은행,SH으뜸모기지론,"영업점,모집인","1. 인지세 : 해당세액의 50%

2. 국민주택채권 매입비용 : 대출금액 X  120% X 1% X 채권할인율

3. 화재보험료 (아파트외 물건지에 한함)","중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간)

* 취급 후 3년 이내 0.66%",대출금리+연3%,담보인정비율(LTV) 최대 70%,20260417,,202604161309
202604,0015130,03005,주식회사 카카오뱅크,주택담보대출,스마트폰,"- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 본인부담금 : 대출금액×110%×1%×채권할인율",없음,"대출금리+3%
(최고 연체이자율 : 15%)",최대 10억원,20260417,,202604170944
